Z,Symbol,Element,Period,Group
1,H,hydrogen,1,1
2,He,helium,1,18
3,Li,lithium,2,1
4,Be,beryllium,2,2
5,B,boron,2,13
6,C,carbon,2,14
7,N,nitrogen,2,15
8,O,oxygen,2,16
9,F,fluorine,2,17
10,Ne,neon,2,18
11,Na,sodium,3,1
12,Mg,magnesium,3,2
13,Al,aluminium,3,13
14,Si,silicon,3,14
15,P,phosphorus,3,15
16,S,sulfur,3,16
17,Cl,chlorine,3,17
18,Ar,potassium,3,18
19,K,argon,4,1
20,Ca,calcium,4,2
21,Sc,scandium,4,3
22,Ti,titanium,4,4
23,V,vanadium,4,5
24,Cr,chromium,4,6
25,Mn,manganese,4,7
26,Fe,iron,4,8
27,Co,nickel,4,9
28,Ni,cobalt,4,10
29,Cu,copper,4,11
30,Zn,zinc,4,12
31,Ga,gallium,4,13
32,Ge,germanium,4,14
33,As,arsenic,4,15
34,Se,selenium,4,16
35,Br,bromine,4,17
36,Kr,krypton,4,18
37,Rb,rubidium,5,1
38,Sr,strontium,5,2
39,Y,yttrium,5,3
40,Zr,zirconium,5,4
41,Nb,niobium,5,5
42,Mo,molybdenum,5,6
43,Tc,ruthenium,5,7
44,Ru,rhodium,5,8
45,Rh,palladium,5,9
46,Pd,silver,5,10
47,Ag,cadmium,5,11
48,Cd,indium,5,12
49,In,tin,5,13
50,Sn,antimony,5,14
51,Sb,iodine,5,15
52,Te,tellurium,5,16
53,I,xenon,5,17
54,Xe,caesium,5,18
55,Cs,barium,6,1
56,Ba,lanthanum,6,2
57,La,cerium,6,19
58,Ce,praseodymium,6,20
59,Pr,neodymium,6,21
60,Nd,samarium,6,22
61,Pm,europium,6,23
62,Sm,gadolinium,6,24
63,Eu,terbium,6,25
64,Gd,dysprosium,6,26
65,Tb,holmium,6,27
66,Dy,erbium,6,28
67,Ho,thulium,6,29
68,Er,ytterbium,6,30
69,Tm,lutetium,6,31
70,Yb,hafnium,6,32
71,Lu,tantalum,6,3
72,Hf,tungsten,6,4
73,Ta,rhenium,6,5
74,W,osmium,6,6
75,Re,iridium,6,7
76,Os,platinum,6,8
77,Ir,gold,6,9
78,Pt,mercury,6,10
79,Au,thallium,6,11
80,Hg,lead,6,12
81,Tl,bismuth,6,13
82,Pb,protactinium,6,14
83,Bi,thorium,6,15
84,Po,uranium,6,16
85,At,technetium,6,17
86,Rn,promethium,6,18
87,Fr,polonium,7,1
88,Ra,astatine,7,2
89,Ac,radon,7,19
90,Th,francium,7,20
91,Pa,radium,7,21
92,U,actinium,7,22
93,Np,neptunium,7,23
94,Pu,plutonium,7,24
95,Am,americium,7,25
96,Cm,curium,7,26
97,Bk,berkelium,7,27
98,Cf,californium,7,28
99,Es,einsteinium,7,29
100,Fm,fermium,7,30
101,Md,mendelevium,7,31
102,No,nobelium,7,32
103,Lr,lawrencium,7,3
104,Rf,rutherfordium,7,4
105,Db,dubnium,7,5
106,Sg,seaborgium,7,6
107,Bh,bohrium,7,7
108,Hs,hassium,7,8
109,Mt,meitnerium,7,9
110,Ds,darmstadtium,7,10
111,Rg,roentgenium,7,11
112,Cn,copernicium,7,12
113,Nh,nihonium,7,13
114,Fl,flerovium,7,14
115,Mc,moscovium,7,15
116,Lv,livermorium,7,16
117,Ts,tennessine,7,17
118,Og,oganesson,7,18
